Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
Quidsi,http://www.crunchbase.com/organization/quidsi,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183553/f255c47f485fe59ffff1d45bb4b2117b.png","Quidsi is an e-commerce platform selling baby-care, household and beauty products.",2005.0,E-Commerce,"10 Exchange Pl., 25th Fl., Jersey City, New Jersey, United States",Jersey City,New Jersey,United States,"Quidsi is one of the world's fastest growing e-commerce companies and parent of Diapers.com baby care, Soap.com household essentials and BeautyBar.com prestige beauty. The company's mission is to make life easier by creating a new type of e-commerce experience, delivering in 1-2 days, and providing incredible customer service. Quidsi is redefining e-commerce by combining the focus and customer connection of a specialty store with the scale, efficiency, choice, value and reliability of a massive global retailer.",http://www.quidsi.com,http://twitter.com/quidsi,Amazon,Amazon acquired Quidsi in 2010,http://api.crunchbase.com/v/2/organization/quidsi?user_key=0ebdc8274e821149894a240090945265
Woot,http://www.crunchbase.com/organization/woot,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183005/14bfe48d753da73a5c0981a74553fb13.jpg",Woot.com is an online store and community that focuses on selling discounted products.,2004.0,"Wine And Spirits, Curated Web, Fashion, Electronics","4121 International Parkway, Carrollton, Texas, United States",Carrollton,Texas,United States,"Woot.com pioneered the ""one deal per day"" business model that is now used by several sites across the internet.  The basic idea is that only one product is available for sale at any given time and each product is only available for 24 hours.  At midnight US Central time, the product is replaced by a different product. If a product sells out before then, a ""Sold Out"" message is displayed until the next day's product goes up.Woot's 2007 revenue was $117MM.On June 30th 2010, the NY Times reported that Woot.com had agreed to an acquisition by Amazon for an undisclosed amount.Some companies with similar business models are WhiskeyMilitia, Ideeli and GearEngine",http://www.woot.com,http://twitter.com/woot,Amazon,Amazon acquired Woot in 2010,http://api.crunchbase.com/v/2/organization/woot?user_key=0ebdc8274e821149894a240090945265
5min Media,http://www.crunchbase.com/organization/5min,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181621/1fa55972b767af3c221b53ccef1640d3.png","5min Media is a syndication platform for lifestyle, knowledge and instructional videos.",2007.0,"Education, Video, Games","5min Media, 770 Broadway, New York City, New York, United States",New York City,New York,United States,"5min Media is the leading syndication platform for lifestyle, knowledge and instructional videos. Reinventing the cable network online, 5min reaches engaged and targeted audiences of passionate consumers through its network of 100s of lifestyle and niche websites. The 5min video library comprises more than 200,000 short-form videos from some of the world's largest media companies, as well as the most innovative independent producers. Visit  for more information.",http://www.5minmedia.com,http://twitter.com/5minMedia,AOL,AOL acquired 5min Media in 2010,http://api.crunchbase.com/v/2/organization/5min?user_key=0ebdc8274e821149894a240090945265
Advertising.com,http://www.crunchbase.com/organization/advertising-com,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181217/6892ffda2b85a8d1568c88b73c073796.png",Advertising.com is a cross-screen network enabling marketers to reach consumers via programmatic buying and performance-driven campaigns.,1998.0,"Sales and Marketing, Advertising, Internet","1020 Hull Street, Ivory Building, Baltimore, Maryland, United States",Baltimore,Maryland,United States,"Advertising.com claims to offer ""the industry's largest online advertising network, which reaches more consumers each month than any other online property.""  Their marketing suite offers tools for display advertising, behavioral marketing, promotional marketing, managed affiliate placements and video advertising.  The company has offices all over the world, but is headquartered in Baltimore, Maryland.",http://www.advertising.com,http://twitter.com/advertising_com,AOL,AOL acquired Advertising.com in 2004,http://api.crunchbase.com/v/2/organization/advertising-com?user_key=0ebdc8274e821149894a240090945265
buy.at,http://www.crunchbase.com/organization/buy-at,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184774/6a108adcc2234daae45576c2a819cd75.jpg",Buyat is an affiliate marketing network.,,Advertising,"1020 Hull Street, Ivory Building, Baltimore, Maryland, United States",Baltimore,Maryland,United States,Buyat is an affiliate marketing network.,http://www.buy.at/region/us,,AOL,AOL acquired buy.at in 2008,http://api.crunchbase.com/v/2/organization/buy-at?user_key=0ebdc8274e821149894a240090945265
Convertro,http://www.crunchbase.com/organization/convertro,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185425/b838e073a211c67eaed44a4df4deb30b.png",Convertro provides a marketing optimization platform that tracks and calculates the ROI of marketing touchpoints across all media.,2009.0,"Advertising, Optimization","1453 Third Street Promenade, Suite 370, Santa Monica, California, United States",Santa Monica,California,United States,"Convertro provides clients with actionable spend recommendations that empower them to confidently reallocate marketing from unprofitable sources to more profitable ones. Convertro accomplishes this by means of its algorithmic attribution models that meld marketing cost and conversion data, including in-store, with customer marketing exposures captured at the most granular level. This regression-based system, combined with other proprietary technologies developed in-house, affords extreme flexibility and enables Convertro to generate spend optimizations for all marketing channels that a client may leverage, whether online PPC, SEO, display, affiliate and social, for example or offline such as TV, radio and direct mail. Convertro is based in Santa Monica California, and maintains offices in New York and Israel. For more information, visit: www.convertro.com or find us on Twitter at @convertro or on LinkedIn.",http://www.convertro.com,http://twitter.com/convertro,AOL,AOL acquired Convertro in 2014,http://api.crunchbase.com/v/2/organization/convertro?user_key=0ebdc8274e821149894a240090945265
Gravity,http://www.crunchbase.com/organization/gravity,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180372/a9716a8b24ec6b0b2f81195e53874ce1.png","Our mission is to personalize the web. We specifically focus on content personalization, surfacing the best organic and native ad content.",2009.0,"Advertising, Personalization, Interest Graph","2525 Main Street, Suite 300, Santa Monica, California, United States",Santa Monica,California,United States,"Gravity is the world’s most advanced personalization company.  When you use a website or application powered by Gravity, it adapts to create a better experience just for you.  Using its proprietary Interest Graph, Gravity semantically understands each user’s individual interests, calculates the strength of those attachments over time and returns recommendations designed to optimize engagement and user experience.",,http://twitter.com/gravity,AOL,AOL acquired Gravity in 2014,http://api.crunchbase.com/v/2/organization/gravity?user_key=0ebdc8274e821149894a240090945265
MapQuest,http://www.crunchbase.com/organization/mapquest,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397193215/16e2632fe05075ea5863eb42e5dcb799.png","MapQuest is an American free online web mapping service that offers internet, wireless and business mapping applications.",1996.0,Curated Web,"300 Granite Run Drive, Suite 200, Lancaster, Pennsylvania, United States",Lancaster,Pennsylvania,United States,"MapQuest, Inc. offers Internet, wireless and business mapping applications that help people find places and get there.  Its services include driving directions, local maps, and local geo-tagged business directories.",http://www.mapquest.com,http://twitter.com/MapQuest,AOL,AOL acquired MapQuest in 1999,http://api.crunchbase.com/v/2/organization/mapquest?user_key=0ebdc8274e821149894a240090945265
MovieFone,http://www.crunchbase.com/organization/moviefone,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397195489/2671fe381b27c65d3c47dd13950db7b6.jpg","MovieFone is an online and telephone service that provides users with information regarding movie plots, screenings and ticket purchases.",1989.0,"Ticketing, Entertainment, Media, Services, Games","50 S La Salle St, Ste 1, Chicago, Illinois, United States",Chicago,Illinois,United States,"MovieFone is an online and telephone service that provides users with information regarding movie plots, screenings, and ticket purchases.MovieFone was purchased by AOL in May of 1999.",http://www.moviefone.com,http://twitter.com/moviefone,AOL,AOL acquired MovieFone in 1999,http://api.crunchbase.com/v/2/organization/moviefone?user_key=0ebdc8274e821149894a240090945265
Netscape,http://www.crunchbase.com/organization/netscape,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186803/54c06a603d0f2423d78250305d516fc2.png","Netscape Communications is a U.S. computer services company providing Netscape Navigator, a web browser.",1994.0,News,"466 Ellis Street, Mountain View, California, United States",Mountain View,California,United States,"Netscape Communications Corporation offers development, marketing, sale, and support of enterprise software solutions. Its products include e-commerce infrastructure and e-commerce applications targeted primarily at corporate intranets and extranets, and Internet. The company was formerly known as Mosaic Communications Corporation and changed the name to Netscape Communications Corporation in November, 1994. Netscape Communications Corporation was founded in 1994 and is based in Mountain View, California. Netscape Communications Corporation operates as a subsidiary of AOL Inc.",http://netscape.aol.com,,AOL,AOL acquired Netscape in 1998,http://api.crunchbase.com/v/2/organization/netscape?user_key=0ebdc8274e821149894a240090945265
Quigo,http://www.crunchbase.com/organization/quigo,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182173/f906124632b2af3f8afecfc5bbee8ff5.png","Quigo, an ad-targeting network, enables advertisers to buy web ads based on specific pages, sections and keywords.",2000.0,"Advertising, Media","90 Park Avenue, 10th Floor, New York City, New York, United States",New York City,New York,United States,"Quigo is an ad-targeting network that provides contextual advertising services for many large media websites including ABCNews.com, CNNMoney.com, Forbes.com, and USAToday.com.  Quigo is a direct competitor to Google's contextual advertising program, Adsense.Quigo sold to AOL for $340 million and will become part of its Platform-A advertising solution.",http://quigo.com,http://twitter.com/QuigoAds,AOL,AOL acquired Quigo in 2007,http://api.crunchbase.com/v/2/organization/quigo?user_key=0ebdc8274e821149894a240090945265
Spinner.com,http://www.crunchbase.com/organization/spinner-com,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397192627/f243e99713f715b761a3ea562c0b1a63.gif",Spinner is an online music channel that offer music and news streaming services on a range of genre-specific channels.,1946.0,Curated Web,,,,,"Spinner is an online music channel, offering music streaming and news on numerous genre-specific channels.Spinner was acquired by AOL in May 1999.",http://spinner.com,http://twitter.com/Spinner,AOL,AOL acquired Spinner.com in 1999,http://api.crunchbase.com/v/2/organization/spinner-com?user_key=0ebdc8274e821149894a240090945265
Tacoda,http://www.crunchbase.com/organization/tacoda,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181305/4dcb5f769f928907d05fe147b7eadb9f.png","Tacoda provides behavioral targeted online advertising services, delivering ads to consumers based on their web surfing habits.",,Advertising,"New York City, New York, United States",New York City,New York,United States,Provider of behavioral targeted online advertising services. Delivers ads to consumers based on their web surfing habits.,http://tacoda.com,,AOL,AOL acquired Tacoda in 2007,http://api.crunchbase.com/v/2/organization/tacoda?user_key=0ebdc8274e821149894a240090945265
The Huffington Post,http://www.crunchbase.com/organization/huffingtonpost,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182426/45294026e4daffbd69c4b9fdd3da644d.png","The Huffington Post is an online news aggregator and blog offering content that includes politics, entertainment, world news and technology.",2005.0,News,"770 Broadway, 5th Floor, New York City, New York, United States",New York City,New York,United States,"The Huffington Post is a leading online news source founded by Arianna Huffington, Ken Lerer, and Jonah Peretti. Contributors include more than 3,000 bloggers—from politicians and celebrities to academics and policy experts—who contribute in real-time on a wide-range of topics.  The site started as a politics blog, but now covers more than 20 categories, including media, business, entertainment, living, style, sustainable ""green"" living, world news, technology, nonprofits, college life, and comedy. It began launching local versions in 2008, and increasingly is experimenting with social networking features.",http://www.huffingtonpost.com,http://twitter.com/HuffingtonPost,AOL,AOL acquired The Huffington Post in 2011,http://api.crunchbase.com/v/2/organization/huffingtonpost?user_key=0ebdc8274e821149894a240090945265
Userplane,http://www.crunchbase.com/organization/userplane,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180830/b2b288e93a80c71b601bc99e3295adf6.png",Userplane is a hosted social discovery platform and a white-label service providing chat and one-to-one messenger services.,2001.0,"Video Chat, Chat, Enterprise Software","225 Santa Monica Blvd., 2nd Floor, Santa Monica, California, United States",Santa Monica,California,United States,"Founded in 2001 and acquired by AOL in 2006, Userplane is a hosted social discovery platform. Userplane likes to consider itself more as Social-as-a-service, backing the belief that helping its partners integrate Userplane can transform their online community and their business.The real-time messaging features of the Userplane platform empower customers to deliver rich, engaging experiences to users, connecting them with the community and the content. As a white-label service, Userplane features can be implemented in a way that preserves and enhances the integrity of the customer's brand.Competitors include FlashComs, AVChat, and Meebo",http://www.userplane.com,http://twitter.com/userplane,AOL,AOL acquired Userplane in 2006,http://api.crunchbase.com/v/2/organization/userplane?user_key=0ebdc8274e821149894a240090945265
Xdrive,http://www.crunchbase.com/organization/xdrive,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183168/5915c9152062aa88990ba878321c02b9.png","Xdrive provides digital asset management, online storage and file sharing services.",1999.0,Curated Web,,,,,"Xdrive is a provider of digital asset management, online storage, and file sharing services.",http://www.xdrive.com,,AOL,AOL acquired Xdrive in 2005,http://api.crunchbase.com/v/2/organization/xdrive?user_key=0ebdc8274e821149894a240090945265
Anobit Technologies,http://www.crunchbase.com/organization/anobit-technologies,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397203507/a5a2b8da13a2ba364d06ee1226b47ab8.gif",Anobit Technologies develops semiconductors for storage solutions used in Flash memory devices.,2006.0,Semiconductors,"8 Hasadnaot St., Herzeliya, Herzliya Pituach, Israel",Herzliya Pituach,,Israel,"Anobit Technologies, Ltd., a fabless semiconductor company, developed solutions for the Flash memory market. Its technology optimized Flash memory devices for storage solutions. The company was founded in 2006 and was based in Pituach, Israel. In December 2011, the company was acquired by Apple.",http://www.anobit.com,,Apple,Apple acquired Anobit Technologies in 2011,http://api.crunchbase.com/v/2/organization/anobit-technologies?user_key=0ebdc8274e821149894a240090945265
Beats Electronics,http://www.crunchbase.com/organization/beats-by-dr-dre,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397182147/20bd6287ed3b0002b08193ea82b74abc.jpg","Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.",2006.0,"Music, Hardware","1601 Cloverfield Boulevard, 5000n, Santa Monica, California, United States",Santa Monica,California,United States,"Established in 2006 as the brainchild of legendary artist and producer Dr. Dre and Chairman of Interscope Geffen A&M Records Jimmy Iovine, Beats Electronics provides a premium sound experience at every touch point of the consumer’s life. It is the parent company of the Beats™ by Dr. Dre™ line of high-quality headphones, Beats Audio™ HD-sound systems, and the MOG digital music service.The company's mission is to provide a superior end-to-end music experience - with headphones, devices and services - so fans feel the emotion and hear the music the way artists intended it to sound from the studio. This experience is aided by partnerships with HP, Chrysler Group and HTC Mobile. Led by Co-Founder & CEO Jimmy Iovine, Co-Founder Dr. Dre, and President Luke Wood, Beats Electronics is based in Santa Monica, CA.NEWS & EVENTSBeats Electronics is the brainchild of legendary artist and producer Dr. Dre and Jimmy Iovine, Chairman of Interscope Geffen A&M Records, who set out to develop a new type of headphone with the capability to reproduce the full spectrum of sound that musical artists and producers hear in professional recording studios.",http://beatsbydre.com,http://twitter.com/beatsbydre,Apple,Apple acquired Beats Electronics in 2014,http://api.crunchbase.com/v/2/organization/beats-by-dr-dre?user_key=0ebdc8274e821149894a240090945265
Color Labs Inc.,http://www.crunchbase.com/organization/color-labs,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397185661/425b9aab622f8bf423c2f94136b6574b.png","Color Labs aims to reinvent social interaction through Color, its mobile photo app.",2010.0,"Networking, Proximity Internet, Location Based Services, Photography, Photo Sharing, Mobile Social, Mobile, None","Palo Alto, California, United States",Palo Alto,California,United States,"Color is advancing the post-PC revolution by inventing new applications that bring people together through proximity, social and visual presentation.  Founded and led by a team of proven engineers and entrepreneurs, Color is located in Palo Alto, California. To learn more about Color please visit ",http://www.color.com,http://twitter.com/Color,Apple,Apple acquired Color Labs Inc. in 2012,http://api.crunchbase.com/v/2/organization/color-labs?user_key=0ebdc8274e821149894a240090945265
Cue,http://www.crunchbase.com/organization/cue,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397191321/1dd8696a8055fdb4cfc8a7de0046a4b8.png",Cue is a web and mobile app that pulls information from the users’ online accounts to present an overview of their day.,2010.0,Curated Web,"San Francisco, California, United States",San Francisco,California,United States,"Cue formerly Greplin is a free service that helps people make the most of their day. Cue intelligently ties together and surfaces useful information at the right time from the accounts they use most, including email, contacts, and calendar. People can see their entire day at a glance or simultaneously search across all of their accounts with Cue.",http://www.cueup.com,http://twitter.com/cueup,Apple,Apple acquired Cue in 2013,http://api.crunchbase.com/v/2/organization/cue?user_key=0ebdc8274e821149894a240090945265
Emagic,http://www.crunchbase.com/organization/emagic,,Emagic was a germany-based a provider of music production software. It was acquired by Apple in 2002.,,,"250 E. Kilbourn Avenue, Milwaukee, Wisconsin, United States",Milwaukee,Wisconsin,United States,Emagic was a germany-based a provider of music production software. It was acquired by Apple in 2002.,,,Apple,Apple acquired Emagic in 2002,http://api.crunchbase.com/v/2/organization/emagic?user_key=0ebdc8274e821149894a240090945265
Intrinsity,http://www.crunchbase.com/organization/intrinsity,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397203165/c9fe1d18e3a73c2d923bb08b59845f60.jpg","Intrinsity provides the tools, technologies, and expertise to efficiently produce higher speed circuits for mobile phone processors.",2008.0,Semiconductors,"11612 FM 2244, Building II, Suite 200, Austin, Texas, United States",Austin,Texas,United States,"Intrinsity provides the tools, technologies, and expertise to efficiently and predictably produce higher speeds for digital logic for the mobile core. Their proprietary Fast14 technology provides circuit speeds up to and beyond 3 GHz as well as the means to manage speed, power, and area to achieve the optimal solution for customer design targets.",http://www.intrinsity.com,http://twitter.com/Intrinsity,Apple,Apple acquired Intrinsity in 2010,http://api.crunchbase.com/v/2/organization/intrinsity?user_key=0ebdc8274e821149894a240090945265
NeXT,http://www.crunchbase.com/organization/next,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189793/f2a686f28649467105c6a7e8201078bc.jpg",NeXT is a computer company offering a series of computer workstations intended for the higher education and business markets.,1985.0,,"900 Chesapeake Dr, Redwood City, California, United States",Redwood City,California,United States,"NeXT, Inc. later NeXT Computer, Inc. and NeXT Software, Inc. was an American computer company headquartered in Redwood City, California, that developed and manufactured a series of computer workstations intended for the higher education and business markets. NeXT was founded in 1985 by Apple Computer co-founder Steve Jobs after his forced resignation from Apple. NeXT introduced the first NeXT Computer in 1988, and the smaller NeXTstation in 1990. Sales of the NeXT computers were relatively limited, with estimates of about 50,000 units shipped in total. Nevertheless, its innovative object-oriented NeXTSTEP operating system and development environment were highly influential.NeXT later released much of the NeXTSTEP system as a programming environment standard called OpenStep. NeXT withdrew from the hardware business in 1993 to concentrate on marketing OPENSTEP, its own OpenStep implementation, for several OEMs. NeXT also developed WebObjects, one of the first enterprise web application frameworks. WebObjects never became very popular because of its initial high price of $50,000 but remains a prominent early example of a web server based on dynamic page generation rather than static content. Apple purchased NeXT on December 20, 1996 for $429 million, and much of the current Mac OS X system is built on the OPENSTEP foundation. WebObjects is now bundled with Mac OS X Server and Xcode.",http://next.com,,Apple,Apple acquired NeXT in 1996,http://api.crunchbase.com/v/2/organization/next?user_key=0ebdc8274e821149894a240090945265
PA Semi,http://www.crunchbase.com/organization/pa-semi,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187568/358e3ca4a8fac18b2f5eeedfa6c4a944.png","PA Semi develops high-end, low-power microprocessors for embedded computing.",,Semiconductors,,,,,"PA Semi is a fabless semiconductor company founded in Santa Clara, California in 2003 by Dan Dobberpuhl who was the lead designer for the DEC Alpha and StrongARM processors. The company previously worked on processors like Itanium, Opteron and UltraSPARC. Apple Inc acquired P.A. Semi for $278 million in April 2008.",,,Apple,Apple acquired PA Semi in 2008,http://api.crunchbase.com/v/2/organization/pa-semi?user_key=0ebdc8274e821149894a240090945265
Polar Rose,http://www.crunchbase.com/organization/polarrose,"http://a3.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1398246656/p9fqgxecjtdntrbfwnal.png","Polar Rose, a superior computer vision tech-based platform, helps users sort, search and share digital photos based on the content.",2004.0,"Curated Web, Browser Extensions, Photography, Image Recognition","Anckargripsgatan 3, Malmö, Skane Lan, Sweden",Malmö,Skane Lan,Sweden,"Polar Rose helps users sort, search, and share their digital photos based on the photo content. Using superior computer vision technology Polar Rose can tell who's in a photo.",http://www.polarrose.com,http://twitter.com/polarrose,Apple,Apple acquired Polar Rose in 2010,http://api.crunchbase.com/v/2/organization/polarrose?user_key=0ebdc8274e821149894a240090945265
PrimeSense,http://www.crunchbase.com/organization/primesense,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397186838/906ecbf6a6e73a4426cad889b3cf8a65.jpg","PrimeSense offers an interactive device that can see, track and react to user movements outside the computer.",2005.0,"Sensors, Hardware + Software, 3D, Hardware","30 Habarzel St., 3rd floor, Tel Aviv, Tel Aviv, Israel",Tel Aviv,Tel Aviv,Israel,"Prime Sense's concept is a device, which allows a computer to perceive the world in 3D and derive an understanding of the world based on sight, just the way humans do.On March 31, 2010, PrimeSense confirmed that it was the technology behind Microsoft's much-touted ""Project Natal"".The device includes a sensor, which sees a user including their complete surroundings, and a digital component, or ""brain"" which learns and understands user movement within those surroundings. Prime Sense's interactive device can see, track and react to user movements outside the computer, all without change of environment or wearable equipment for the end user. The closed device is plug and play and platform independent.The company envisages the following uses: -Interact with video games by using body movement and gestures. -Interact with digital devices using menus on a screen as opposed to mouse and keyboard-Improved video communication with for example virtual backgrounds and virtual drawing boards.",http://primesense.com,http://twitter.com/GoPrimeSense,Apple,Apple acquired PrimeSense in 2013,http://api.crunchbase.com/v/2/organization/primesense?user_key=0ebdc8274e821149894a240090945265
Quattro Wireless,http://www.crunchbase.com/organization/quattro-wireless,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181284/8c46ee7fe2b480f3a1bf129b413a1e6e.jpg","Quattro Wireless, a global mobile advertising company, enables advertisers and publishers to reach and engage their target audiences.",2006.0,Advertising,"260 Charles St, Waltham, Massachusetts, United States",Waltham,Massachusetts,United States,"iAd is helping advertisers reach millions of iPhone and iPod touch users around the world with dynamic, engaging ads right in their favorite apps. The iAd Network combines the emotion of TV advertising with the interactivity of the web, giving advertisers a powerful new way to reach mobile users.We believe iAd is the best mobile ad network in the world, and starting next month we're going to focus all of our resources on the iAd advertising platform. We are no longer accepting new campaigns for the Quattro Wireless Network, and we will soon begin winding down existing campaigns.  As of September 30, we will support ads exclusively for the iAd Network. Advertisers, learn more about iAd here: , find out how to generate revenue and promote your apps using iAd: ",http://www.quattrowireless.com,http://twitter.com/InTheQ,Apple,Apple acquired Quattro Wireless in 2010,http://api.crunchbase.com/v/2/organization/quattro-wireless?user_key=0ebdc8274e821149894a240090945265
Topsy Labs,http://www.crunchbase.com/organization/topsy-labs,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397209168/0521ea9cfc1d47569369337c9d149cd0.png","Topsy, a social analytics company, provides instant answers to critical business questions via real-time analysis of public conversations.",2007.0,"Twitter Applications, Real Time, Search, Analytics, Social Media","140 Second St, 6th Floor, San Francisco, California, United States",San Francisco,California,United States,"Topsy is a social analytics company that gives you instant answers to critical business questions through real-time analysis of public conversations. Operating the world's only index of the public social web, Topsy is used by some of the largest global marketing, news, entertainment, and financial organizations to get real-time insights into a wide variety of business questions: everything from spotting breaking news and identifying customer satisfaction issues, to gauging response to TV programming and understanding political sentiment.  Many of the world’s largest brands also use Topsy as their day-to-day social dashboard to discover and track the impact of trending topics and predict future events.  Headquartered in San Francisco, Topsy is backed by BlueRun Ventures, Ignition Partners, Founders Fund and Scott Banister. For more information visit: ",http://topsy.com,http://twitter.com/topsy,Apple,Apple acquired Topsy Labs in 2013,http://api.crunchbase.com/v/2/organization/topsy-labs?user_key=0ebdc8274e821149894a240090945265
WiFiSLAM,http://www.crunchbase.com/organization/wifislam,"http://a2.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397190788/caf8a46a801da56274b2db3854cb1ba7.jpg",WiFiSlam develops indoor location-based technologies that use Wi-Fi signals to detect a mobile phone user's location via a smartphone app.,2011.0,"Location Based Services, Wireless, Mobile","Palo Alto, California, United States",Palo Alto,California,United States,WiFiSLAM is developing enabling technologies for indoor location-based services. Its technology can run on any smart phone and has the ability to provide indoor location based services with no initial setup in any Wi-Fi-enabled building.,http://wifislam.com,http://twitter.com/wifislam,Apple,Apple acquired WiFiSLAM in 2013,http://api.crunchbase.com/v/2/organization/wifislam?user_key=0ebdc8274e821149894a240090945265
Centennial Communications Corp,http://www.crunchbase.com/organization/centennial-communications-corp,"http://a5.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397195904/4f7e7ede4cfbce86698e72c408adca15.gif","Centennial Communications, a subsidiary of AT&T, is a leading provider of regional wireless and integrated communications services in the",1988.0,Mobile,"3811 Illinois Rd, Suite 212, Fort Wayne, Indiana, United States",Fort Wayne,Indiana,United States,"Centennial Communications, a subsidiary of AT&amp;T, is a leading provider of regional wireless and integrated communications services in the United States and Puerto Rico with approximately 1.1 million wireless subscribers and 582,200 access lines and equivalents. The U.S. business owns and operates wireless networks in the Midwest and Southeast covering parts of six states. Centennial's Puerto Rico business owns and operates wireless networks in Puerto Rico and the U.S. Virgin Islands and provides facilities-based integrated voice, data and Internet solutions. Welsh, Carson, Anderson Stowe is a significant shareholder of Centennial.",http://www.centennialwireless.com,,AT&T,AT&T acquired Centennial Communications Corp in 2009,http://api.crunchbase.com/v/2/organization/centennial-communications-corp?user_key=0ebdc8274e821149894a240090945265
